city	state	MSA
Mercedita	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Juana Diaz	PR	"Ponce, PR "
Amherst	MA	"Springfield, MA "
Amherst	MA	"Springfield, MA "
Amherst	MA	"Springfield, MA "
Belchertown	MA	"Springfield, MA "
Chicopee	MA	"Springfield, MA "
Chicopee	MA	"Springfield, MA "
Cummington	MA	"Springfield, MA "
East Longmeadow	MA	"Springfield, MA "
Feeding Hills	MA	"Springfield, MA "
Goshen	MA	"Springfield, MA "
Granville	MA	"Springfield, MA "
Hampden	MA	"Springfield, MA "
Haydenville	MA	"Springfield, MA "
Holyoke	MA	"Springfield, MA "
Huntington	MA	"Springfield, MA "
Leverett	MA	"Springfield, MA "
Ludlow	MA	"Springfield, MA "
Northampton	MA	"Springfield, MA "
Northampton	MA	"Springfield, MA "
Palmer	MA	"Springfield, MA "
Russell	MA	"Springfield, MA "
Shutesbury	MA	"Springfield, MA "
Three Rivers	MA	"Springfield, MA "
Ware	MA	"Springfield, MA "
Westfield	MA	"Springfield, MA "
West Springfield	MA	"Springfield, MA "
Whately	MA	"Springfield, MA "
Williamsburg	MA	"Springfield, MA "
Worthington	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Springfield	MA	"Springfield, MA "
Greenfield	MA	"Springfield, MA "
Ashfield	MA	"Springfield, MA "
Charlemont	MA	"Springfield, MA "
Conway	MA	"Springfield, MA "
Lake Pleasant	MA	"Springfield, MA "
Monroe Bridge	MA	"Springfield, MA "
Northfield	MA	"Springfield, MA "
Northfield	MA	"Springfield, MA "
Rowe	MA	"Springfield, MA "
Shattuckville	MA	"Springfield, MA "
Turners Falls	MA	"Springfield, MA "
Warwick	MA	"Springfield, MA "
Wendell Depot	MA	"Springfield, MA "
Ponce	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Ponce	PR	"Ponce, PR "
Villalba	PR	"Ponce, PR "
Coto Laurel	PR	"Ponce, PR "
Agawam	MA	"Springfield, MA "
Blandford	MA	"Springfield, MA "
Bondsville	MA	"Springfield, MA "
Brimfield	MA	"Springfield, MA "
Chester	MA	"Springfield, MA "
Chesterfield	MA	"Springfield, MA "
Chicopee	MA	"Springfield, MA "
Chicopee	MA	"Springfield, MA "
Chicopee	MA	"Springfield, MA "
Easthampton	MA	"Springfield, MA "
Granby	MA	"Springfield, MA "
Hadley	MA	"Springfield, MA "
Hatfield	MA	"Springfield, MA "
Holyoke	MA	"Springfield, MA "
Leeds	MA	"Springfield, MA "
Monson	MA	"Springfield, MA "
North Amherst	MA	"Springfield, MA "
Northampton	MA	"Springfield, MA "
Florence	MA	"Springfield, MA "
North Hatfield	MA	"Springfield, MA "
Plainfield	MA	"Springfield, MA "
Southampton	MA	"Springfield, MA "
Aguirre	PR	"Guayama, PR "
Arroyo	PR	"Guayama, PR "
Guayama	PR	"Guayama, PR "
Patillas	PR	"Guayama, PR "
Pittsfield	MA	"Pittsfield, MA "
Pittsfield	MA	"Pittsfield, MA "
Adams	MA	"Pittsfield, MA "
Becket	MA	"Pittsfield, MA "
Cheshire	MA	"Pittsfield, MA "
Dalton	MA	"Pittsfield, MA "
Glendale	MA	"Pittsfield, MA "
Housatonic	MA	"Pittsfield, MA "
Lee	MA	"Pittsfield, MA "
Lenox	MA	"Pittsfield, MA "
Lenox Dale	MA	"Pittsfield, MA "
Mill River	MA	"Pittsfield, MA "
Monterey	MA	"Pittsfield, MA "
North Adams	MA	"Pittsfield, MA "
Otis	MA	"Pittsfield, MA "
Sandisfield	MA	"Pittsfield, MA "
South Egremont	MA	"Pittsfield, MA "
South Lee	MA	"Pittsfield, MA "
Stockbridge	MA	"Pittsfield, MA "
Tyringham	MA	"Pittsfield, MA "
West Stockbridge	MA	"Pittsfield, MA "
Drury	MA	"Pittsfield, MA "
Cataumet	MA	"Barnstable Town, MA "
East Sandwich	MA	"Barnstable Town, MA "
Falmouth	MA	"Barnstable Town, MA "
Buzzards Bay	MA	"Barnstable Town, MA "
Monument Beach	MA	"Barnstable Town, MA "
North Falmouth	MA	"Barnstable Town, MA "
Pocasset	MA	"Barnstable Town, MA "
Sandwich	MA	"Barnstable Town, MA "
West Falmouth	MA	"Barnstable Town, MA "
Hyannis	MA	"Barnstable Town, MA "
Barnstable	MA	"Barnstable Town, MA "
Chatham	MA	"Barnstable Town, MA "
Centerville	MA	"Barnstable Town, MA "
Cummaquid	MA	"Barnstable Town, MA "
East Dennis	MA	"Barnstable Town, MA "
Forestdale	MA	"Barnstable Town, MA "
Harwich	MA	"Barnstable Town, MA "
Marstons Mills	MA	"Barnstable Town, MA "
Mashpee	MA	"Barnstable Town, MA "
North Eastham	MA	"Barnstable Town, MA "
North Truro	MA	"Barnstable Town, MA "
Osterville	MA	"Barnstable Town, MA "
South Chatham	MA	"Barnstable Town, MA "
South Dennis	MA	"Barnstable Town, MA "
South Orleans	MA	"Barnstable Town, MA "
South Wellfleet	MA	"Barnstable Town, MA "
Truro	MA	"Barnstable Town, MA "
Wellfleet	MA	"Barnstable Town, MA "
West Dennis	MA	"Barnstable Town, MA "
